xcoord;ycoord
-48,4031;5,4305
-48,4031;5,4305
-48,4065;5,2567
-48,4065;5,2567
-48,4082;5,083
-48,4115;4,9092
-48,4132;4,9092
-48,4132;4,9092
-48,4149;4,9092
-48,4149;4,7355
-48,4149;4,7355
-48,4165;4,7355
-48,4165;4,7355
-48,4199;4,3879
-48,4199;4,3879
-48,4216;4,3879
-48,4216;4,3879
-48,4216;4,3879
-48,4232;4,3879
-48,4232;4,3879
-48,4232;4,3879
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
-48,4232;4,2142
